カテゴリ,要件項目,状態,優先度,備考
チーム管理,年間登録期間の定義,未定義,高,シーズン制の詳細が必要
チーム管理,チーム解散時の処理フロー,未定義,中,データ処理方法の定義が必要
チーム管理,サブチーム作成要件,未定義,中,作成条件や制限の定義が必要
チーム管理,チーム名/ロゴ変更承認フロー,未定義,中,承認プロセスの定義が必要
選手管理,JDL IDの検証方法,不明確,高,検証プロセスの定義が必要
選手管理,出場歴の確認方法,未定義,高,証明方法の定義が必要
選手管理,選手の年齢制限・資格要件,未定義,中,制限の有無の確認が必要
選手管理,選手クラス管理方法,不明確,高,クラス分けの基準と管理方法の定義が必要
選抜選手管理,選抜選手の変更条件,不明確,高,体調不良等の場合の対応を定義
選抜選手管理,選抜選手登録承認フロー,未定義,高,承認プロセスの定義が必要
選抜選手管理,クラス別ポイント計算ロジック,不明確,高,計算方法の詳細定義が必要
選抜選手管理,ポイント集計・順位表示方法,未定義,高,表示方法の定義が必要
大会管理,年間スケジュール管理機能,未定義,高,スケジュール管理方法の定義が必要
大会管理,大会結果の記録・管理方法,未定義,高,記録方法と承認フローの定義が必要
大会管理,ラウンドごとのポイント集計方法,未定義,高,集計ロジックの定義が必要
大会管理,順位表の管理と公開方法,未定義,中,公開タイミングと方法の定義が必要
通知機能,通知の重要度レベル定義,未定義,中,重要度の基準定義が必要
通知機能,通知の送信方法の使い分け,不明確,中,各通知手段の使用基準の定義が必要
通知機能,通知テンプレート管理機能,未定義,低,テンプレート管理方法の定義が必要
通知機能,通知履歴の管理方法,未定義,低,履歴保持期間等の定義が必要
データ管理,過去データのアーカイブ方法,未定義,中,アーカイブ基準と方法の定義が必要
データ管理,データのエクスポート・インポート機能,未定義,中,対応フォーマットの定義が必要
データ管理,バックアップからの復旧手順,未定義,高,復旧手順の詳細定義が必要
データ管理,データ移行要件,未定義,中,移行対象と方法の定義が必要
監督管理,監督の資格要件,未定義,高,資格条件の定義が必要
監督管理,監督交代時の引継ぎ項目,未定義,中,引継ぎ項目の詳細定義が必要
監督管理,監督不在時の代理権限設定,未定義,中,代理権限の範囲定義が必要
監督管理,監督による選手評価機能,未定義,低,評価項目と方法の定義が必要
レポート機能,必要なレポートの種類と形式,未定義,中,出力レポートの定義が必要
レポート機能,出力可能フォーマット,未定義,低,対応フォーマットの定義が必要
レポート機能,カスタムレポート作成機能,未定義,低,カスタマイズ範囲の定義が必要
レポート機能,データ集計期間設定,未定義,中,集計期間の定義方法の明確化が必要
API連携,外部システムとの連携仕様,未定義,中,連携システムと方法の定義が必要
API連携,APIの利用制限,未定義,中,制限値の定義が必要
API連携,データ同期方法,未定義,中,同期タイミングと方法の定義が必要
API連携,エラー処理の詳細,未定義,高,エラーパターンと対応の定義が必要
UI要件,レスポンシブデザインの対応範囲,未定義,中,対応デバイスの定義が必要
UI要件,アクセシビリティ要件,未定義,低,対応レベルの定義が必要
UI要件,多言語対応の必要性,未定義,低,対応言語の定義が必要
UI要件,モバイルアプリケーションの必要性,未定義,中,アプリ開発の要否判断が必要 